timestamp,hostname,os_name,interval_seconds,cpu_percent,memory_percent,swap_percent,process_count,user_process_count,new_process_count,thread_count,open_file_count,connection_count,established_count,listen_count,remote_ip_count,remote_port_count,uncommon_remote_port_count,bytes_sent_per_sec,bytes_recv_per_sec,packets_sent_per_sec,packets_recv_per_sec
1784475928.061655,Maxim9012,Windows,5.0,15.1,58.7,1.0,300,146,5,5084,2935,220,89,53,50,41,38,16609.0,36431.0,70.6,84.0
1784475954.1518056,Maxim9012,Windows,5.0,16.0,58.7,1.0,294,141,0,4995,2878,220,91,53,52,41,38,4321.8,5833.0,23.8,29.6
1784475979.2726836,Maxim9012,Windows,5.0,13.1,57.5,1.0,294,141,0,4978,2890,219,89,53,51,42,39,8243.4,13954.0,45.0,51.0
1784476005.1168463,Maxim9012,Windows,5.0,18.8,58.9,1.0,295,142,1,5021,2899,216,90,53,49,42,39,5159.2,7816.2,35.0,39.8
1784476030.504924,Maxim9012,Windows,5.0,14.7,58.2,1.0,294,142,1,5023,2893,213,90,53,49,43,40,5149.6,7028.0,31.0,38.4
1784476055.9441996,Maxim9012,Windows,5.0,15.5,58.5,1.0,298,146,4,5095,2935,213,90,53,51,43,40,4666.0,6989.2,30.2,38.2
1784476081.6903744,Maxim9012,Windows,5.0,14.8,57.4,1.0,294,141,1,4994,2878,212,87,53,49,42,39,3186.0,3372.4,22.4,29.4
1784476106.6308742,Maxim9012,Windows,5.0,13.1,57.3,1.0,294,141,0,4997,2890,210,87,53,49,41,38,3738.8,4407.2,25.4,34.0
1784476132.125376,Maxim9012,Windows,5.0,16.7,58.6,1.0,294,141,0,4988,2878,213,89,53,49,41,38,5261.2,6030.8,30.4,41.6
1784476157.278069,Maxim9012,Windows,5.0,14.7,57.7,1.0,293,141,0,4988,2890,213,88,53,49,41,38,4929.8,5739.2,31.0,38.8
1784476182.6996486,Maxim9012,Windows,5.0,16.1,58.9,1.0,299,147,6,5102,2944,210,88,53,46,41,38,4971.0,6733.8,31.8,38.8
1784476208.5187838,Maxim9012,Windows,5.0,14.0,58.7,1.0,293,142,0,4986,2899,218,90,53,47,42,39,13869.0,17113.2,61.2,72.4
1784476234.0248792,Maxim9012,Windows,5.0,17.2,59.1,1.0,300,148,8,5106,2935,213,90,53,47,41,38,11543.4,30130.6,50.2,64.2
1784476259.9599729,Maxim9012,Windows,5.0,13.8,57.8,1.0,293,141,0,4982,2878,213,91,53,46,41,38,5030.0,5491.2,25.2,33.4
1784476285.0157382,Maxim9012,Windows,5.0,13.9,57.7,1.0,293,141,0,4980,2890,215,88,53,45,41,38,7874.2,17901.0,45.6,54.6
1784476310.426246,Maxim9012,Windows,5.0,16.0,58.9,1.0,293,141,0,4999,2890,216,87,53,45,41,38,4103.0,4599.2,21.8,30.8
1784476335.6705515,Maxim9012,Windows,5.0,13.7,57.7,1.0,293,141,0,5013,2878,216,88,53,45,41,38,4510.2,5178.6,26.4,33.6
1784476361.3468874,Maxim9012,Windows,5.0,17.3,59.0,1.0,299,147,6,5137,2944,216,89,53,45,41,38,3856.4,5165.6,22.8,32.4
1784476387.2988377,Maxim9012,Windows,5.0,13.7,57.7,1.0,294,141,1,4973,2878,215,89,53,47,42,39,6220.6,9176.4,33.8,39.6
1784476412.4074264,Maxim9012,Windows,5.0,16.8,59.1,1.0,299,146,5,5089,2935,212,87,53,44,41,38,4069.4,4687.8,27.0,32.4
1784476438.070017,Maxim9012,Windows,5.0,14.0,58.8,1.0,294,141,0,5006,2878,212,88,53,45,41,38,5856.2,11413.6,36.0,46.8
1784476463.334527,Maxim9012,Windows,5.0,14.6,57.8,1.0,296,142,2,5094,2895,211,87,53,45,41,38,5109.6,4251.2,25.0,33.8
1784476489.3292358,Maxim9012,Windows,5.0,16.9,59.1,1.0,295,142,0,5068,2895,208,80,53,43,39,36,3334.8,4946.2,22.8,31.4
1784476514.778109,Maxim9012,Windows,5.0,13.3,57.8,1.0,296,143,2,5082,2878,220,85,53,45,41,38,15276.2,42263.0,76.4,93.2
1784476540.735183,Maxim9012,Windows,5.0,18.0,59.1,1.0,299,146,3,5072,2917,221,86,53,45,41,38,7138.8,4269.8,26.6,31.0
1784476566.561595,Maxim9012,Windows,5.0,14.1,57.9,1.0,295,142,0,5019,2878,222,87,53,46,41,38,6104.4,8875.2,29.6,39.4
1784476591.9166243,Maxim9012,Windows,5.0,17.0,59.3,1.0,299,146,5,5085,2935,222,89,53,48,41,38,5727.4,7785.0,27.6,37.0
1784476617.7465334,Maxim9012,Windows,5.0,14.0,58.9,1.0,294,141,0,4973,2878,217,91,53,46,41,38,3733.4,7650.4,24.0,38.6
1784476642.8144367,Maxim9012,Windows,5.0,13.5,58.0,1.0,294,141,0,5040,2890,212,91,53,47,42,39,5625.0,8673.4,39.2,45.0
1784476668.4344633,Maxim9012,Windows,5.0,17.4,59.1,1.0,295,141,1,5068,2889,210,88,53,47,42,39,3020.0,4423.4,18.0,27.2
1784476693.617823,Maxim9012,Windows,5.0,15.0,58.0,1.0,295,141,0,5077,2877,213,88,53,48,42,39,13400.6,7004.8,34.4,40.2
1784476718.98711,Maxim9012,Windows,5.0,16.8,59.1,1.0,297,143,2,5103,2907,213,88,53,48,41,38,5197.2,5816.2,29.6,39.4
1784476744.437606,Maxim9012,Windows,5.0,15.4,58.1,1.0,294,141,0,5023,2877,215,88,53,48,41,38,4027.6,5286.4,23.6,30.6
1784476769.4780161,Maxim9012,Windows,5.0,15.6,59.3,1.0,300,147,6,5118,2943,213,89,53,48,41,38,5560.0,7113.8,29.6,37.8
1784476795.5235622,Maxim9012,Windows,5.0,14.9,59.2,1.0,300,147,0,5101,2943,215,90,53,48,41,38,4799.8,6658.6,28.0,33.0
1784476821.4126208,Maxim9012,Windows,5.0,14.2,58.0,1.0,293,141,0,4979,2889,213,91,53,48,41,38,16867.0,37424.2,65.6,87.6
